순번,코드,코드명,ETF기초지수명,유형분류(대),유형분류(중),유형분류(소),상장일,상장폐지일,섹터분류
438,A122090,PLUS 코스피50,코스피 50,국내주식형,인덱스주식,인덱스주식기타,20100107,,기타/분류불가
439,A337160,KODEX 200ESG,코스피 200 ESG 지수,국내주식형,인덱스주식,인덱스주식기타,20191114,,esg
445,A332940,HANARO MSCI Korea TR,MSCI Korea TR Index,국내주식형,인덱스주식,인덱스주식기타,20190828,,시장대표/ MSCI KOREA
456,A108450,ACE 삼성그룹섹터가중,MKF SAMs SW,국내주식형,인덱스주식,인덱스주식기타,20090203,,삼성그룹
457,A228800,TIGER 여행레저,WISE 여행레저 지수,국내주식형,인덱스주식,인덱스주식섹터,20151007,,여행레저
458,A326240,RISE IT플러스,FnGuide IT플러스 지수,국내주식형,인덱스주식,인덱스주식기타,20190620,,IT
461,A475300,SOL 반도체전공정,FnGuide 반도체 전공정 지수(PR),국내주식형,인덱스주식,인덱스주식기타,20240214,,반도체
466,A0154F0,WON 초대형IB&금융지주,iSelect 초대형IB&금융지주 지수,국내주식형,인덱스주식,인덱스주식기타,20260120,,금융
467,A475310,SOL 반도체후공정,FnGuide 반도체 후공정 지수(PR),국내주식형,인덱스주식,인덱스주식기타,20240214,,반도체
472,A457990,PLUS 태양광&ESS,FnGuide 태양광&ESS 지수,국내주식형,인덱스주식,인덱스주식기타,20230620,,기타/분류불가
473,A0007N0,아이엠에셋 200,코스피 200,국내주식형,인덱스주식,인덱스주식코스피200,20250211,,시장대표/코스피200
480,A465330,RISE 2차전지TOP10,iSelect 2차전지 TOP10 지수(PR),국내주식형,인덱스주식,인덱스주식기타,20230912,,이차전지
482,A491700,HK 200,코스피 200,국내주식형,인덱스주식,인덱스주식코스피200,20240910,,시장대표/코스피200
493,A252650,KODEX 200동일가중,코스피 200 동일가중지수,국내주식형,인덱스주식,인덱스주식기타,20160920,,시장대표/코스피200
496,A150460,TIGER 중국소비테마,FnGuide 중국내수테마 지수,국내주식형,인덱스주식,인덱스주식기타,20111216,,기타/분류불가
497,A395290,HANARO Fn K-POP&미디어,FnGuide K-POP&미디어 지수 (시장가격),국내주식형,인덱스주식,인덱스주식기타,20210730,,KPOP/엔터
500,A0008T0,SOL 화장품TOP3플러스,FnGuide 화장품TOP3 플러스 지수(PR),국내주식형,인덱스주식,인덱스주식기타,20250121,,화장품
501,A316670,KIWOOM 코스닥150,코스닥 150,국내주식형,인덱스주식,인덱스주식기타,20190122,,시장대표/코스닥150
504,A495040,PLUS 코리아밸류업,코리아 밸류업 지수,국내주식형,인덱스주식,인덱스주식기타,20241104,,밸류업
511,A117700,KODEX 건설,KRX 건설,국내주식형,인덱스주식,인덱스주식섹터,20091030,,건설
519,A292190,KODEX KRX300,KRX 300,국내주식형,인덱스주식,인덱스주식KRX300,20180326,,시장대표/KRX300
524,A298770,KODEX 한국대만IT프리미어,한국 대만 IT 프리미어지수(KRW),국내주식형,인덱스주식,인덱스주식섹터,20180611,,IT
525,A337140,KODEX 코스피대형주,코스피 대형주 지수,국내주식형,인덱스주식,인덱스주식기타,20191114,,기타/분류불가
527,A395170,KODEX Top10동일가중,FnGuide TOP10 동일가중 지수,국내주식형,인덱스주식,인덱스주식기타,20210730,,기타/분류불가
528,A400970,TIGER Fn메타버스,FnGuide 메타버스테마 지수,국내주식형,인덱스주식,인덱스주식기타,20211013,,메타버스
530,A487750,BNK 온디바이스AI,FnGuide 온디바이스AI 지수,국내주식형,인덱스주식,인덱스주식기타,20240723,,AI
533,A139220,TIGER 200 건설,코스피 200 건설,국내주식형,인덱스주식,인덱스주식섹터,20110406,,건설
535,A434960,DAISHIN343 K200,코스피 200,국내주식형,인덱스주식,인덱스주식코스피200,20220628,,AI
538,A0005G0,ITF K-AI반도체코어테크,FnGuide K-AI반도체 코어테크 지수,국내주식형,인덱스주식,인덱스주식기타,20250121,,IT
539,A450910,SOL 코스닥150,코스닥 150,국내주식형,인덱스주식,인덱스주식기타,20230131,,시장대표/코스닥150
542,A365000,TIGER 인터넷TOP10,KRX 인터넷 TOP 10,국내주식형,인덱스주식,인덱스주식섹터,20201007,,기타/분류불가
555,A495750,HANARO 코리아밸류업,코리아 밸류업 지수,국내주식형,인덱스주식,인덱스주식기타,20241104,,밸류업
558,A266370,KODEX IT,KRX 정보기술,국내주식형,인덱스주식,인덱스주식섹터,20170328,,IT
560,A139280,TIGER 경기방어,코스피 200 경기방어소비재,국내주식형,인덱스주식,인덱스주식섹터,20110406,,시장대표/코스피200
561,A140700,KODEX 보험,KRX 보험,국내주식형,인덱스주식,인덱스주식섹터,20110426,,기타/분류불가
564,A266360,KODEX K콘텐츠,KRX K콘텐츠,국내주식형,인덱스주식,인덱스주식섹터,20170328,,웹툰드라마
567,A277640,TIGER 코스피대형주,코스피 대형주 지수,국내주식형,인덱스주식,인덱스주식기타,20170831,,기타/분류불가
569,A0098Z0,FOCUS 200,코스피 200,국내주식형,인덱스주식,인덱스주식코스피200,20250923,,시장대표/코스피200
580,A375770,KODEX 탄소효율그린뉴딜,KRX/S&P 탄소효율 그린뉴딜지수,국내주식형,인덱스주식,인덱스주식기타,20210205,,기후변화
583,A322400,HANARO e커머스,FnGuide E커머스 지수(시장가격),국내주식형,인덱스주식,인덱스주식기타,20190423,,기타/분류불가
585,A461580,TIGER 코스닥글로벌,코스닥 글로벌 지수,국내주식형,인덱스주식,인덱스주식기타,20230629,,시장대표/코스닥글로벌
591,A491220,PLUS 200TR,코스피 200 TR지수,국내주식형,인덱스주식,인덱스주식코스피200,20240910,,시장대표/코스피200
596,A139270,TIGER 200 금융,코스피 200 금융,국내주식형,인덱스주식,인덱스주식섹터,20110406,,금융
597,A261060,TIGER 코스닥150IT,코스닥 150 정보기술,국내주식형,인덱스주식,인덱스주식섹터,20161215,,IT
600,A479850,HANARO K-뷰티,FnGuide K-뷰티 지수,국내주식형,인덱스주식,인덱스주식기타,20240416,,화장품
614,A261140,TIGER 우선주,코스피 우선주 지수,국내주식형,인덱스주식,인덱스주식기타,20170106,,기타/분류불가
627,A364990,TIGER 게임TOP10,KRX 게임 TOP 10 지수,국내주식형,인덱스주식,인덱스주식섹터,20201007,,게임
632,A140950,파워 코스피100,코스피 100,국내주식형,인덱스주식,인덱스주식기타,20110503,,시장대표/코스피100
636,A300950,KODEX 게임산업,FnGuide 게임 산업 지수,국내주식형,인덱스주식,인덱스주식섹터,20180724,,게임
643,A305050,ACE 코스피,코스피지수,국내주식형,인덱스주식,인덱스주식기타,20181005,,시장대표/코스피
645,A0141S0,SOL 조선기자재,FnGuide 조선기자재 지수(PR),국내주식형,인덱스주식,인덱스주식기타,20251216,,조선
646,A388280,RISE K엔터&여행레저,FnGuide K엔터&여행레저 지수,국내주식형,인덱스주식,인덱스주식기타,20210610,,여행레저
653,A117460,KODEX 에너지화학,KRX 에너지화학,국내주식형,인덱스주식,인덱스주식섹터,20091012,,에너지화학
656,A275300,KODEX 우량주,MSCI Korea IMI Quality Capped,국내주식형,인덱스주식,인덱스주식기타,20170711,,시장대표/ MSCI KOREA
662,A461450,KODEX 코스닥글로벌,코스닥 글로벌 지수,국내주식형,인덱스주식,인덱스주식기타,20230629,,시장대표/코스닥글로벌
665,A368190,HANARO Fn K-뉴딜디지털플러스,FnGuide K-뉴딜 디지털 플러스 지수,국내주식형,인덱스주식,인덱스주식기타,20201110,,뉴딜디지털
668,A227540,TIGER 200 헬스케어,코스피 200 헬스케어,국내주식형,인덱스주식,인덱스주식섹터,20150923,,의료/헬스케어
672,A156080,KODEX MSCI Korea,MSCI Korea Index,국내주식형,인덱스주식,인덱스주식기타,20120430,,시장대표/ MSCI KOREA
673,A304770,HANARO 코스닥150,코스닥 150,국내주식형,인덱스주식,인덱스주식기타,20180814,,시장대표/코스닥150
675,A147970,TIGER 모멘텀,FnGuide 모멘텀 지수,국내주식형,인덱스주식,인덱스주식기타,20111026,,기타/분류불가
680,A476260,HANARO 반도체핵심공정주도주,FnGuide 반도체 핵심공정 주도주 지수,국내주식형,인덱스주식,인덱스주식기타,20240227,,반도체
688,A0112X0,마이티 200TR,코스피 200 TR지수,국내주식형,인덱스주식,인덱스주식기타,20251028,,시장대표/코스피200
696,A139250,TIGER 200 에너지화학,코스피 200 에너지/화학,국내주식형,인덱스주식,인덱스주식섹터,20110406,,에너지화학
