순번,코드,코드명,ETF기초지수명,유형분류(대),유형분류(중),유형분류(소),상장일,상장폐지일,섹터분류
853,A227830,PLUS 코스피,코스피지수,국내주식형,인덱스주식,인덱스주식기타,20150923,,시장대표/코스피
855,A266410,KODEX 필수소비재,KRX 필수소비재,국내주식형,인덱스주식,인덱스주식섹터,20170328,,기타/분류불가
861,A381560,HANARO Fn전기&수소차,FnGuide 전기&수소차 지수 (시장가격),국내주식형,인덱스주식,인덱스주식기타,20210402,,자동차
862,A140580,RISE 우량업종대표주,MKF 우량업종대표주 지수,국내주식형,인덱스주식,인덱스주식기타,20110415,,기타/분류불가
864,A0105D0,SOL 한국AI소프트웨어,KEDI 한국AI소프트웨어 지수(PR),국내주식형,인덱스주식,인덱스주식기타,20250923,,IT
872,A244620,KODEX 모멘텀Plus,FnGuide 모멘텀PLUS 지수,국내주식형,인덱스주식,인덱스주식기타,20160513,,기타/분류불가
873,A464610,SOL 의료기기소부장Fn,FnGuide 의료기기소부장지수(PR),국내주식형,인덱스주식,인덱스주식기타,20230822,,반도체
886,A228820,TIGER KTOP30,KTOP 30,국내주식형,인덱스주식,인덱스주식기타,20151014,,기타/분류불가
887,A234310,RISE V&S셀렉트밸류,FnGuide 셀렉트밸류 지수,국내주식형,인덱스주식,인덱스주식기타,20160202,,기타/분류불가
892,A131890,ACE 삼성그룹동일가중,MKF SAMs EW Index,국내주식형,인덱스주식,인덱스주식기타,20100917,,삼성그룹
893,A404650,SOL KRX기후변화솔루션,KRX 기후변화 솔루션지수,국내주식형,인덱스주식,인덱스주식기타,20211029,,기후변화
902,A140710,KODEX 운송,KRX 운송,국내주식형,인덱스주식,인덱스주식섹터,20110426,,기타/분류불가
905,A395150,KODEX 웹툰&드라마,FnGuide 웹툰&드라마 지수,국내주식형,인덱스주식,인덱스주식기타,20210730,,웹툰드라마
906,A0138D0,RISE 동학개미,FnGuide 동학개미 지수,국내주식형,인덱스주식,인덱스주식기타,20251216,,기타/분류불가
909,A280920,PLUS 주도업종,FnGuide 주도업종 지수,국내주식형,인덱스주식,인덱스주식섹터,20171017,,기타/분류불가
910,A253280,RISE 헬스케어,FnGuide 헬스케어 지수,국내주식형,인덱스주식,인덱스주식섹터,20160923,,의료/헬스케어
911,A395280,HANARO Fn K-게임,FnGuide K-게임 지수 (시장가격),국내주식형,인덱스주식,인덱스주식기타,20210730,,게임
917,A285690,FOCUS ESG리더스,KRX ESG Leaders 150,국내주식형,인덱스주식,인덱스주식기타,20171213,,esg
919,A215620,HK S&P코리아로우볼,S&P Korea 저변동성 지수,국내주식형,인덱스주식,인덱스주식기타,20150325,,기타/분류불가
921,A0120J0,BNK 카카오그룹포커스,FnGuide 카카오그룹 포커스 지수,국내주식형,인덱스주식,인덱스주식기타,20251202,,기타/분류불가
926,A326230,RISE 내수주플러스,FnGuide 내수주플러스 지수,국내주식형,인덱스주식,인덱스주식기타,20190620,,기타/분류불가
938,A266390,KODEX 경기소비재,KRX 경기소비재,국내주식형,인덱스주식,인덱스주식섹터,20170328,,기타/분류불가
944,A279540,KODEX 최소변동성,KRX 최소변동성 지수,국내주식형,인덱스주식,인덱스주식기타,20171017,,기타/분류불가
947,A466810,BNK 2차전지양극재,iSelect 2차전지양극재 지수,국내주식형,인덱스주식,인덱스주식기타,20231019,,이차전지
953,A483020,KIWOOM 의료AI,FnGuide 의료AI 지수,국내주식형,인덱스주식,인덱스주식기타,20240528,,의료/헬스케어
954,A380340,ACE 코리아AI테크핵심산업,FnGuide 코리아AI테크핵심산업지수 (Price Return),국내주식형,인덱스주식,인덱스주식기타,20210402,,AI
958,A140570,RISE 수출주,MKF 수출주 지수,국내주식형,인덱스주식,인덱스주식기타,20110415,,기타/분류불가
971,A139290,TIGER 200 경기소비재,코스피 200 경기소비재,국내주식형,인덱스주식,인덱스주식섹터,20110406,,시장대표/코스피200
972,A174350,TIGER 로우볼,FnGuide 로우볼 지수,국내주식형,인덱스주식,인덱스주식기타,20130620,,기타/분류불가
975,A381570,HANARO Fn친환경에너지,FnGuide 친환경에너지 지수 (시장가격),국내주식형,인덱스주식,인덱스주식기타,20210402,,에너지화학
985,A488200,KIWOOM K-2차전지북미공급망,Solactive K-Battery North America Supply Chain 지수,국내주식형,인덱스주식,인덱스주식기타,20240723,,이차전지
989,A368680,KODEX K-뉴딜디지털플러스,FnGuide K-뉴딜 디지털 플러스 지수,국내주식형,인덱스주식,인덱스주식기타,20201110,,뉴딜디지털
993,A404540,TIGER KRX기후변화솔루션,KRX 기후변화 솔루션지수,국내주식형,인덱스주식,인덱스주식기타,20211029,,기후변화
994,A227570,TIGER 우량가치,FnGuide 퀄리티 밸류 지수,국내주식형,인덱스주식,인덱스주식기타,20150923,,기타/분류불가
997,A139240,TIGER 200 철강소재,코스피 200 철강/소재,국내주식형,인덱스주식,인덱스주식섹터,20110406,,철강
999,A315270,TIGER 200커뮤니케이션서비스,코스피 200 커뮤니케이션서비스,국내주식형,인덱스주식,인덱스주식섹터,20190115,,시장대표/코스피200
1000,A244670,KODEX 밸류Plus,FnGuide 밸류PLUS 지수,국내주식형,인덱스주식,인덱스주식기타,20160513,,기타/분류불가
1005,A307510,TIGER 의료기기,FnGuide 의료기기 지수,국내주식형,인덱스주식,인덱스주식섹터,20181108,,의료/헬스케어
1006,A402460,HANARO Fn K-메타버스MZ,FnGuide K-메타버스 MZ 지수(시장가격),국내주식형,인덱스주식,인덱스주식기타,20211013,,메타버스
1009,A407300,HANARO Fn골프테마,FnGuide 골프 테마 지수(시장가격),국내주식형,인덱스주식,인덱스주식기타,20211124,,기타/분류불가
1010,A314700,HANARO 농업융복합산업,FnGuide 농업융복합산업지수(시장가격),국내주식형,인덱스주식,인덱스주식기타,20181221,,기타/분류불가
1033,A427120,RISE AI플랫폼,FnGuide AI 플랫폼 지수,국내주식형,인덱스주식,인덱스주식기타,20220517,,AI
1040,A244660,KODEX 퀄리티Plus,FnGuide 퀄리티PLUS 지수,국내주식형,인덱스주식,인덱스주식기타,20160513,,기타/분류불가
1043,A226380,ACE Fn성장소비주도주,FnGuide 성장소비주도 지수,국내주식형,인덱스주식,인덱스주식기타,20150819,,기타/분류불가
1048,A266550,PLUS 중형주저변동50,FnGuide 중형주저변동50지수,국내주식형,인덱스주식,인덱스주식기타,20170328,,기타/분류불가
1049,A277650,TIGER 코스피중형주,코스피 중형주 지수,국내주식형,인덱스주식,인덱스주식기타,20170831,,기타/분류불가
1050,A227560,TIGER 200 생활소비재,코스피 200 생활소비재,국내주식형,인덱스주식,인덱스주식섹터,20150923,,시장대표/코스피200
1051,A488210,KIWOOM K-반도체북미공급망,Solactive K-Semiconductor North America Supply Chain 지수,국내주식형,인덱스주식,인덱스주식기타,20240723,,반도체
1056,A227550,TIGER 200 산업재,코스피 200 산업재,국내주식형,인덱스주식,인덱스주식섹터,20150923,,시장대표/코스피200
1077,A0167A0,SOL AI반도체TOP2플러스,FnGuide AI반도체 TOP2 플러스 지수(PR),국내주식형,인덱스주식,인덱스주식기타,20260317,,반도체
